ringnr;adult_sex;year;month;day;locality;hatch_year;max_year;first_locality;last_locality;body_mass;thr_bill_depth;thr_bill_length;thr_tarsus;thr_wing
8118424;1;2009;7;30;28;2007;2010;28;28;31.4;8.55;13.15;19.89;81.03
8118424;1;2010;5;7;28;2007;2010;28;28;33.2;8.26;13.83;19.74;82.38
8118424;1;2010;8;10;28;2007;2010;28;28;33.2;8.44;13.6;19.96;81.31
8118425;2;2008;6;17;28;2007;2008;28;28;30.3;8.51;13.86;19.14;77.38
8118425;2;2008;6;17;28;2007;2008;28;28;30.3;8.52;13.98;19.5;75.03
8118425;2;2008;10;1;28;2007;2008;28;28;29.1;8.45;13.05;19.41;77.38
8118426;1;2008;5;29;28;2007;2010;28;28;32.8;8.47;12.52;19.6;79
8118426;1;2009;8;11;28;2007;2010;28;28;35;8.89;13.1;19.85;79.03
8118426;1;2010;6;19;28;2007;2010;28;28;33.5;8.77;13.48;19.61;80.09
8118426;1;2010;6;19;28;2007;2010;28;28;33.5;8.52;13.04;19.55;81
8118426;1;2010;6;19;28;2007;2010;28;28;33.5;8.55;13.33;19.52;79.31
8118426;1;2010;7;21;28;2007;2010;28;28;31.6;8.75;13.84;19.51;79.43
8118429;1;2007;7;24;28;2006;2007;28;28;31.3;7.89;13.66;19.68;80.85
8118430;1;2008;6;2;28;2007;2008;28;28;29.9;8.25;13.04;18.83;79
8118430;1;2008;6;2;28;2007;2008;28;28;29.9;8.15;13.24;18.87;79.05
8118432;2;2008;7;21;26;2007;2009;26;26;30.4;8.47;14.28;19.67;79.38
8118432;2;2009;5;4;26;2007;2009;26;26;33.4;8.08;13.74;19.43;81.86
8118433;1;2008;6;10;26;2007;2009;26;26;28.5;8.1;13.43;18.09;79.86
8118433;1;2008;6;10;26;2007;2009;26;26;;8.21;12.8;18.09;79.29
8118435;2;2007;7;25;26;2006;2009;26;26;27.6;7.8;13.42;19.43;75.85
8118435;2;2009;6;15;26;2006;2009;26;26;30.1;8.37;14.2;19.41;79.43
8118437;1;2008;6;16;26;2007;2008;26;26;30.6;8.72;13.77;19.44;83.38
8118437;1;2008;6;16;26;2007;2008;26;26;30.6;8.77;13.55;19.67;82.03
8118437;1;2008;6;28;26;2007;2008;26;26;30;8.47;14.24;19.29;82.38
8118437;1;2008;10;2;26;2007;2008;26;26;30.1;7.76;12.73;19.96;82.85
8168602;2;1999;5;31;38;1998;1999;38;38;32.2;8.14;14.49;20.48;77.86
8168602;2;1999;7;13;38;1998;1999;38;38;34.9;7.94;14.69;20.38;76.86
8168603;1;1999;5;31;38;1998;1999;38;38;32.2;8.34;14.89;20.08;81.86
8168603;1;1999;7;13;38;1998;1999;38;38;31.7;8.64;14.89;19.98;82.86
