"ringnr","y_adjusted","n_obs","y_mean","O_HOM","E_HOM","N_SITES","F_hat","locality"
"8118424",0.478197342401624,3,32.6,43882,43350,64806,-0.0149352670424751,"28"
"8118425",-1.62517500563499,3,29.9,43914,43340,64796,-0.0130852670424751,"28"
"8118426",1.22464663460886,6,33.3166666666667,45164,42650,63638,0.0800347329575249,"28"
"8118429",-0.0459994062550091,1,31.3,44091,43170,64538,0.00340473295752491,"28"
"8118430",-1.31982251360431,2,29.9,43549,43350,64815,-0.0306902670424751,"28"
"8118432",0.150082235117727,2,31.9,45108,43360,64836,0.0413247329575249,"26"
"8118433",-1.51561028168715,1,28.5,45388,43370,64845,0.0541347329575249,"26"
"8118435",-1.81238234535402,2,28.85,44063,43330,64771,-0.00553526704247509,"26"
"8168602",1.38511940676701,2,33.55,45316,43240,64643,0.0573347329575249,"38"
"8168603",0.348779695289305,2,31.95,44262,43360,64824,0.00223473295752491,"38"
"8168605",-1.30140030098094,2,29.95,44610,43090,64423,0.0314547329575249,"38"
"8168606",0.258810281337401,2,32.3,44633,43300,64735,0.0223247329575249,"38"
"8168613",-0.333541403801303,1,30.9,41525,41840,62554,-0.0549252670424751,"27"
"8168614",-0.0837997586297408,1,31.4,46824,43240,64645,0.127634732957525,"28"
"8168615",-1.06045992160889,1,29.4,44191,43280,64718,0.00246473295752491,"33"
"8168617",1.30520871068373,1,34,44243,43350,64811,0.00185473295752491,"34"
"8168632",-1.378080372542,1,28.3,43716,43290,64728,-0.0200952670424751,"33"
"8168635",-0.99234557533266,1,30.2,42446,42350,63313,-0.0353722670424751,"27"
"8168636",-0.127229126864474,1,32,42383,42300,63228,-0.0359192670424751,"27"
"8168638",2.10334944425317,5,34.64,43753,43200,64593,-0.0138252670424751,"27"
"8168639",-0.708518665506806,2,30.95,43967,43300,64738,-0.00876526704247509,"26"
"8168642",-2.17890707418887,1,27.2,41579,42010,62830,-0.0606452670424751,"27"
"8168644",-1.52672947203255,1,28.5,41028,41770,62490,-0.0755852670424751,"27"
"8168648",-0.329204054130439,2,31.25,41211,41490,62097,-0.0536052670424751,"26"
"8168649",1.77568634450478,1,35.9,44244,43280,64716,0.00488473295752491,"26"
"8168650",1.13471533943021,2,33.9,42551,42460,63454,-0.0354202670424751,"27"
"8168655",0.286372330963662,1,32.9,42820,42160,63037,-0.00820526704247509,"27"
"8168658",-0.431636957327423,1,31,41793,41930,62540,-0.0463782670424751,"22"
"8168660",0.429266042200068,1,32.8,43814,43240,64650,-0.0128852670424751,"22"
"8168661",-0.604347729798441,1,30.6,42893,42550,63597,-0.0237952670424751,"22"
"8168662",1.22614972635916,1,34.3,43999,42960,64251,0.00895473295752491,"22"
