"ringnr","O_HOM","E_HOM","N_SITES","F_hat"
"8L19505",44067,43360,64834,-0.00705631979054291
"8L19506",44087,43350,64820,-0.00578631979054291
"8L19540",44095,43350,64815,-0.00530631979054291
"8L19549",44186,43310,64748,0.00115368020945709
"8L19556",43780,43350,64810,-0.0197563197905429
"8L19559",44076,43350,64812,-0.00610631979054291
"8L19568",44237,43210,64595,0.00833368020945709
"8L19569",42974,42780,63956,-0.0306763197905429
"8L19578",43550,43320,64775,-0.0293863197905429
"8L19595",44188,43350,64819,-0.00107631979054291
"8L19596",44658,43340,64804,0.0213936802094571
"8L19610",45563,43330,64780,0.0643036802094571
"8L19624",45131,43350,64814,0.0431236802094571
"8L19633",43692,42950,64210,-0.00495631979054291
"8L19656",44011,43350,64817,-0.00928631979054291
"8L19661",43755,43220,64624,-0.0150463197905429
"8L19663",44297,43330,64784,0.00518368020945709
"8L19666",44039,43050,64376,0.00629368020945709
"8L19688",43223,43290,64730,-0.0431643197905429
"8L19693",43196,43190,64576,-0.0397099197905429
"8L19722",44143,43340,64786,-0.00224631979054291
"8L19728",43974,43350,64809,-0.0106263197905429
"8L19729",44581,43350,64809,0.0175136802094571
"8L19813",43561,43050,64365,-0.0160563197905429
"8L19825",44045,43360,64823,-0.00779631979054291
"8L19830",44077,43350,64814,-0.00609631979054291
"8L19835",43318,43370,64850,-0.0424733197905429
"8L19839",43933,43340,64795,-0.0121563197905429
"8L19856",44190,43320,64762,0.000793680209457089
"8L19858",42695,43330,64789,-0.0694663197905429
"8L19860",43497,43350,64814,-0.0330953197905429
"8L19862",43786,43300,64730,-0.0170863197905429
"8L19877",42450,42220,63111,-0.0287663197905429
"8L19899",46304,43290,64718,0.100803680209457
"8L19900",43883,43320,64765,-0.0135863197905429
"8L19912",43865,43270,64690,-0.0119363197905429
"8L19917",43267,43250,64659,-0.0389358197905429
"8L19919",44184,43370,64843,-0.00194631979054291
"8L19920",41712,42050,62894,-0.0559863197905429
"8L19921",43082,42900,64127,-0.0311143197905429
"8L19922",44848,43330,64786,0.0307236802094571
"8L19928",45093,42750,63914,0.0709036802094571
"8L19926",43575,43060,64376,-0.0158463197905429
"8L19930",43746,43320,64779,-0.0202463197905429
"8L19931",47658,43200,64575,0.168603680209457
"8L19932",43733,43370,64848,-0.0230963197905429
"8L19934",44168,43190,64587,0.00559368020945709
"8L19936",43754,43320,64765,-0.0195063197905429
"8L19937",44347,43360,64831,0.00594368020945709
"8L19944",44107,43330,64787,-0.00382631979054291
"8L19951",44129,43360,64824,-0.00392631979054291
"8L19952",43755,43360,64822,-0.0212863197905429
"8L19953",45146,43340,64791,0.0443936802094571
"8L19958",45996,43370,64842,0.0826036802094571
"8L19960",43630,43140,64478,-0.0170663197905429
"8L19961",46071,43350,64822,0.0867036802094571
"8L19969",42167,42190,63073,-0.0412133197905429
"8L19974",42080,41940,62698,-0.0333753197905429
"8L19977",43849,43250,64663,-0.0120463197905429
"8L19979",48876,43040,64353,0.233803680209457
"8L19986",43786,43260,64684,-0.0155363197905429
"8L19987",44404,43300,64742,0.0114536802094571
"8L19988",44531,43330,64790,0.0160436802094571
"8L19991",43921,43350,64807,-0.0131263197905429
