Running from this directory: /cluster/work/simennes/Project_thesis/Project_thesis
Name of job: tune_params
ID of job: 23134776
The job was run on these nodes: idun-07-07
[I 2025-10-17 13:09:10,215] Trial 0 finished with value: 0.12883757602187879 and parameters: {'hidden_dims': '[128, 64]', 'dropout': 0.199031432379812, 'batch_norm': True, 'lr': 1.8408544111075837e-06, 'weight_decay': 5.5136510071208614e-05, 'epochs': 336, 'loss': 'mae', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 9, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 0 with value: 0.12883757602187879.
[I 2025-10-17 13:10:18,101] Trial 1 finished with value: 0.14133296128496725 and parameters: {'hidden_dims': '[128, 64]', 'dropout': 0.3170069966666469, 'batch_norm': True, 'lr': 8.93699563453483e-05, 'weight_decay': 2.536038332206416e-05, 'epochs': 290, 'loss': 'mae', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 4, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 1 with value: 0.14133296128496725.
[I 2025-10-17 13:11:41,426] Trial 2 finished with value: 0.1645676114566878 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.275826319716044, 'batch_norm': True, 'lr': 0.0004485485309869717, 'weight_decay': 2.0046868950224612e-06, 'epochs': 91, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 9, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 2 with value: 0.1645676114566878.
[I 2025-10-17 13:12:42,743] Trial 3 finished with value: 0.08387501627973695 and parameters: {'hidden_dims': '[256, 128, 64]', 'dropout': 0.3951006814927115, 'batch_norm': False, 'lr': 1.7331624470191415e-06, 'weight_decay': 1.6666318356529153e-06, 'epochs': 142, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': True, 'symmetrize_mode': 'mutual'}. Best is trial 2 with value: 0.1645676114566878.
[I 2025-10-17 13:13:11,845] Trial 4 finished with value: 0.08151795106951362 and parameters: {'hidden_dims': '[128, 64]', 'dropout': 0.39891832398148686, 'batch_norm': False, 'lr': 1.1917889272889587e-06, 'weight_decay': 1.6302351115057956e-06, 'epochs': 115, 'loss': 'mae', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 2 with value: 0.1645676114566878.
[I 2025-10-17 13:14:39,498] Trial 5 finished with value: 0.15944798134494226 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.5269668752502432, 'batch_norm': False, 'lr': 0.00022174169137101815, 'weight_decay': 7.488782916686469e-05, 'epochs': 222, 'loss': 'mae', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 6, 'weighted_edges': True, 'symmetrize_mode': 'mutual'}. Best is trial 2 with value: 0.1645676114566878.
[I 2025-10-17 13:16:15,510] Trial 6 finished with value: 0.11500796403391308 and parameters: {'hidden_dims': '[256, 128, 64]', 'dropout': 0.20938467458976837, 'batch_norm': True, 'lr': 0.00017132065349580424, 'weight_decay': 7.570789545936101e-06, 'epochs': 226, 'loss': 'mae', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 7, 'weighted_edges': True, 'symmetrize_mode': 'mutual'}. Best is trial 2 with value: 0.1645676114566878.
[I 2025-10-17 13:19:15,751] Trial 7 finished with value: 0.188970333238224 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.5889496317010025, 'batch_norm': False, 'lr': 4.838069255103695e-05, 'weight_decay': 0.0003231029820065669, 'epochs': 221, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 7 with value: 0.188970333238224.
[I 2025-10-17 13:20:30,901] Trial 8 finished with value: 0.11867584366373014 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.19905032860813446, 'batch_norm': True, 'lr': 1.2962030165732244e-06, 'weight_decay': 1.326598071105465e-07, 'epochs': 180, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 4, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 7 with value: 0.188970333238224.
[I 2025-10-17 13:20:55,804] Trial 9 finished with value: 0.15721889006876946 and parameters: {'hidden_dims': '[128, 64]', 'dropout': 0.18802106664184695, 'batch_norm': False, 'lr': 2.831800609272248e-05, 'weight_decay': 0.00023853009335908395, 'epochs': 94, 'loss': 'mae', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 8, 'weighted_edges': False, 'symmetrize_mode': 'union'}. Best is trial 7 with value: 0.188970333238224.
[I 2025-10-17 13:21:42,272] Trial 10 finished with value: 0.04438000911111953 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.5885461262002587, 'batch_norm': False, 'lr': 1.080428984628536e-05, 'weight_decay': 0.0005489772228037724, 'epochs': 48, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 1, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 7 with value: 0.188970333238224.
