Running from this directory: /cluster/work/simennes/Project_thesis/Project_thesis
Name of job: ind_ens_no
ID of job: 23157421
The job was run on these nodes: idun-06-06
[I 2025-10-27 23:44:14,060] Trial 0 finished with value: -0.009747583988655755 and parameters: {'model_type': 'gcn', 'hidden_dims': '[128, 64]', 'dropout': 0.199031432379812, 'batch_norm': True, 'lr': 1.8408544111075837e-06, 'weight_decay': 5.5136510071208614e-05, 'epochs': 336, 'loss': 'mae', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 0 with value: -0.009747583988655755.
[I 2025-10-27 23:44:15,648] Trial 1 finished with value: 0.05737843983111479 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128, 64]', 'dropout': 0.37127218400563067, 'batch_norm': False, 'lr': 0.00010529332619998268, 'weight_decay': 5.852382428491506e-06, 'epochs': 174, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 1 with value: 0.05737843983111479.
[I 2025-10-27 23:44:17,450] Trial 2 finished with value: 0.07650289495396691 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128, 64]', 'dropout': 0.1452296746354537, 'batch_norm': True, 'lr': 0.00030622735197688883, 'weight_decay': 1.5402289339220191e-07, 'epochs': 234, 'loss': 'mae', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 2 with value: 0.07650289495396691.
[I 2025-10-27 23:44:18,685] Trial 3 finished with value: -0.004273842492955228 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 64]', 'dropout': 0.26275581891612443, 'batch_norm': False, 'lr': 1.9071336264835719e-06, 'weight_decay': 0.0001924964086209925, 'epochs': 87, 'loss': 'mae', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 2 with value: 0.07650289495396691.
[I 2025-10-27 23:44:19,678] Trial 4 finished with value: 0.032363772741381136 and parameters: {'model_type': 'gcn', 'hidden_dims': '[128, 64]', 'dropout': 0.3672789744009075, 'batch_norm': True, 'lr': 1.1790854384045463e-05, 'weight_decay': 2.0818640252904763e-07, 'epochs': 134, 'loss': 'mae', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 2 with value: 0.07650289495396691.
[I 2025-10-27 23:44:21,383] Trial 5 finished with value: 0.039089112742786404 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 128]', 'dropout': 0.539957587258958, 'batch_norm': False, 'lr': 1.7886585032994208e-05, 'weight_decay': 2.6442971539681237e-05, 'epochs': 199, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 2 with value: 0.07650289495396691.
[I 2025-10-27 23:44:23,058] Trial 6 finished with value: 0.10259774511560528 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 64]', 'dropout': 0.33756612370752526, 'batch_norm': True, 'lr': 0.0008638879917968324, 'weight_decay': 2.284711536033332e-06, 'epochs': 193, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 6 with value: 0.10259774511560528.
[I 2025-10-27 23:44:24,822] Trial 7 finished with value: 0.05478446029225073 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 128]', 'dropout': 0.49097455930957423, 'batch_norm': True, 'lr': 1.2920616602078762e-06, 'weight_decay': 2.5271182560729787e-06, 'epochs': 215, 'loss': 'mae', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 6 with value: 0.10259774511560528.
[I 2025-10-27 23:44:26,211] Trial 8 finished with value: 0.05334478695902997 and parameters: {'model_type': 'gcn', 'hidden_dims': '[128, 64]', 'dropout': 0.5429135480838528, 'batch_norm': True, 'lr': 0.00018092080466732599, 'weight_decay': 2.676198590155127e-07, 'epochs': 271, 'loss': 'mae', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 6 with value: 0.10259774511560528.
[I 2025-10-27 23:44:27,995] Trial 9 finished with value: 0.054102339810701935 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 256]', 'dropout': 0.2133866716350046, 'batch_norm': False, 'lr': 0.0005971323756049669, 'weight_decay': 1.84926733431025e-05, 'epochs': 205, 'loss': 'mae', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 6 with value: 0.10259774511560528.
[I 2025-10-27 23:44:29,069] Trial 10 finished with value: 0.03123633730923196 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 64]', 'dropout': 0.44348694453905607, 'batch_norm': True, 'lr': 6.10458015764876e-05, 'weight_decay': 1.1488876414998186e-06, 'epochs': 45, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 6 with value: 0.10259774511560528.
[I 2025-10-27 23:44:30,656] Trial 11 finished with value: 0.1016218903466523 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128]', 'dropout': 0.14296182011688618, 'batch_norm': True, 'lr': 0.0006974629554379109, 'weight_decay': 1.0164104965982245e-07, 'epochs': 263, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 6 with value: 0.10259774511560528.
[I 2025-10-27 23:44:32,248] Trial 12 finished with value: 0.10855489417122041 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128]', 'dropout': 0.10301349415855446, 'batch_norm': True, 'lr': 0.0009065924552860444, 'weight_decay': 0.0009060053314616428, 'epochs': 291, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 12 with value: 0.10855489417122041.
[I 2025-10-27 23:44:34,030] Trial 13 finished with value: 0.09189084953750988 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128]', 'dropout': 0.2906300723097003, 'batch_norm': True, 'lr': 0.000856296334147562, 'weight_decay': 0.0009682787657510896, 'epochs': 331, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 12 with value: 0.10855489417122041.
[I 2025-10-27 23:44:35,315] Trial 14 finished with value: 0.0600341294818952 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128]', 'dropout': 0.43225852142710086, 'batch_norm': True, 'lr': 0.0002893974151950662, 'weight_decay': 0.000835817551162036, 'epochs': 154, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 12 with value: 0.10855489417122041.
[I 2025-10-27 23:44:37,372] Trial 15 finished with value: 0.06572351364215068 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 64]', 'dropout': 0.10420128204191088, 'batch_norm': True, 'lr': 4.67882964375675e-05, 'weight_decay': 9.179975572331025e-07, 'epochs': 285, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 12 with value: 0.10855489417122041.
[I 2025-10-27 23:44:38,741] Trial 16 finished with value: -0.0009906481686681218 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 256]', 'dropout': 0.31562141044961967, 'batch_norm': True, 'lr': 5.182518918618637e-06, 'weight_decay': 0.00011631588889283996, 'epochs': 113, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 12 with value: 0.10855489417122041.
[I 2025-10-27 23:44:40,397] Trial 17 finished with value: 0.09813157843466049 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128]', 'dropout': 0.23392565797589127, 'batch_norm': True, 'lr': 0.00032822269705074647, 'weight_decay': 6.088314870735299e-06, 'epochs': 295, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 12 with value: 0.10855489417122041.
[I 2025-10-27 23:44:42,284] Trial 18 finished with value: 0.02256087327075185 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 64]', 'dropout': 0.4134056285982507, 'batch_norm': False, 'lr': 0.00011211060956895801, 'weight_decay': 0.0002765445101194904, 'epochs': 239, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 12 with value: 0.10855489417122041.
[I 2025-10-27 23:44:43,564] Trial 19 finished with value: 0.06302994328547262 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128]', 'dropout': 0.5883002555998881, 'batch_norm': True, 'lr': 0.0009270044878104496, 'weight_decay': 1.0649843633863143e-06, 'epochs': 174, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 12 with value: 0.10855489417122041.
[I 2025-10-27 23:44:45,805] Trial 20 finished with value: 0.086633261041494 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 64]', 'dropout': 0.3318546579184891, 'batch_norm': True, 'lr': 0.00044592170970070646, 'weight_decay': 1.0090068298588285e-05, 'epochs': 321, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 12 with value: 0.10855489417122041.
[I 2025-10-27 23:44:47,316] Trial 21 finished with value: 0.09937445129482066 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128]', 'dropout': 0.15232484931808096, 'batch_norm': True, 'lr': 0.0009526578084510941, 'weight_decay': 3.764317751171837e-07, 'epochs': 242, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 12 with value: 0.10855489417122041.
[I 2025-10-27 23:44:48,776] Trial 22 finished with value: 0.08107462781160099 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128]', 'dropout': 0.10848458000300615, 'batch_norm': True, 'lr': 0.00017504627556182912, 'weight_decay': 2.227432175605051e-06, 'epochs': 262, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 12 with value: 0.10855489417122041.
[I 2025-10-27 23:44:50,400] Trial 23 finished with value: 0.09310400935304507 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128]', 'dropout': 0.16818101945369304, 'batch_norm': True, 'lr': 0.0005683856011153838, 'weight_decay': 1.0269085354697352e-07, 'epochs': 308, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 12 with value: 0.10855489417122041.
[I 2025-10-27 23:44:56,242] Trial 24 finished with value: 0.09843518950173877 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128]', 'dropout': 0.1813246464335463, 'batch_norm': True, 'lr': 0.00021029989821283045, 'weight_decay': 5.089147702365035e-07, 'epochs': 256, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 12 with value: 0.10855489417122041.
[I 2025-10-27 23:47:04,609] Trial 25 finished with value: 0.09253588385949288 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 128]', 'dropout': 0.2406875732442853, 'batch_norm': True, 'lr': 0.0004951941128932153, 'weight_decay': 5.1503558332005e-05, 'epochs': 346, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 12 with value: 0.10855489417122041.
[I 2025-10-27 23:48:58,831] Trial 26 finished with value: 0.08005261966363615 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128, 64]', 'dropout': 0.12849826791878852, 'batch_norm': False, 'lr': 7.369902516820033e-05, 'weight_decay': 2.2526314915711075e-06, 'epochs': 221, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 12 with value: 0.10855489417122041.
[I 2025-10-27 23:50:21,478] Trial 27 finished with value: 0.10874878554722782 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 256]', 'dropout': 0.28861628453511945, 'batch_norm': True, 'lr': 0.0009864605145506568, 'weight_decay': 0.00041419491550947894, 'epochs': 175, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 27 with value: 0.10874878554722782.
[I 2025-10-27 23:51:23,059] Trial 28 finished with value: 0.06344455351555602 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 256]', 'dropout': 0.272349051476366, 'batch_norm': True, 'lr': 2.9428918699645187e-05, 'weight_decay': 0.00033682381287236755, 'epochs': 177, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 27 with value: 0.10874878554722782.
[I 2025-10-27 23:51:24,469] Trial 29 finished with value: 0.09756428447931893 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 256]', 'dropout': 0.3033516875926307, 'batch_norm': True, 'lr': 0.0003663724866148722, 'weight_decay': 8.332574587423162e-05, 'epochs': 142, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 27 with value: 0.10874878554722782.
