phenotype,model,mean,std,min,q25,median,q75,max,count
Body Mass,GBLUP,0.1969,0.1068,0.0156,0.1609,0.1900,0.2255,0.4300,11
Body Mass,GCN,0.1567,0.0996,0.0034,0.0953,0.1615,0.2253,0.3098,11
Body Mass,GCN Inductive,0.1868,0.1091,-0.0048,0.1301,0.1854,0.2362,0.3837,11
Body Mass,GraphSAGE,0.1875,0.1033,0.0707,0.1037,0.1737,0.2379,0.3718,11
Body Mass,GraphSAGE Ensemble,0.1931,0.1191,0.0052,0.1392,0.1587,0.2219,0.4535,11
Body Mass,GraphSAGE Inductive,0.2147,0.1113,0.0724,0.1280,0.2034,0.2749,0.4441,11
Body Mass,MLP,0.1983,0.1082,0.0159,0.1323,0.1750,0.2819,0.3886,11
Body Mass,MLP Ensemble,0.2100,0.0981,-0.0032,0.1535,0.2132,0.2912,0.3172,11
Tarsus Length,GBLUP,0.2412,0.0789,0.1125,0.2022,0.2272,0.2853,0.3770,11
Tarsus Length,GCN,0.2473,0.1020,0.0663,0.2051,0.2377,0.3296,0.3613,11
Tarsus Length,GCN Inductive,0.2364,0.0927,0.0895,0.1876,0.2254,0.2979,0.4037,11
Tarsus Length,GraphSAGE,0.2569,0.0989,0.0421,0.2165,0.2562,0.3001,0.4042,11
Tarsus Length,GraphSAGE Ensemble,0.2576,0.0759,0.1038,0.2097,0.2787,0.3150,0.3678,11
Tarsus Length,GraphSAGE Inductive,0.2651,0.0967,0.0651,0.2289,0.2481,0.3042,0.4356,11
Tarsus Length,MLP,0.2648,0.0668,0.1365,0.2337,0.2533,0.3046,0.3835,11
Tarsus Length,MLP Ensemble,0.2424,0.0690,0.1083,0.2171,0.2405,0.2908,0.3340,11
Wing Length,GBLUP,0.2186,0.1039,0.0896,0.1443,0.1980,0.3032,0.3807,11
Wing Length,GCN,0.2315,0.0909,0.1227,0.1568,0.2297,0.2895,0.4121,11
Wing Length,GCN Inductive,0.2231,0.0981,0.0829,0.1558,0.2044,0.3078,0.3768,11
Wing Length,GraphSAGE,0.2270,0.0942,0.0779,0.1630,0.2187,0.2821,0.3917,11
Wing Length,GraphSAGE Ensemble,0.2089,0.1140,0.0840,0.1138,0.1776,0.2817,0.4166,11
Wing Length,GraphSAGE Inductive,0.2262,0.1036,0.0668,0.1461,0.2319,0.3039,0.3786,11
Wing Length,MLP,0.2452,0.0886,0.0984,0.1897,0.2276,0.3091,0.3936,11
Wing Length,MLP Ensemble,0.2048,0.1047,0.0755,0.1310,0.1678,0.2927,0.3636,11
