model_label,phenotype_label,scenario,fold_id,threshold,mean_degree,intra_island_fraction
GCN,Body mass,across,1,0.7222,0.0013,1.0000
GCN,Body mass,across,1,0.8221,0.0038,0.9545
GCN,Body mass,across,2,0.6507,0.0117,0.9815
GCN,Body mass,across,2,,0.9816,0.7016
GCN,Body mass,across,3,0.8618,0.0079,0.9231
GCN,Body mass,across,3,0.7233,0.0135,0.9775
GCN,Body mass,across,4,0.7752,0.0042,0.9655
GCN,Body mass,across,4,0.8383,0.0000,
GCN,Body mass,across,5,0.8117,0.0000,
GCN,Body mass,across,5,0.5884,0.0968,0.9484
GCN,Body mass,across,6,0.8254,0.0100,0.9412
GCN,Body mass,across,6,0.7168,0.0466,0.9804
GCN,Body mass,across,7,0.8963,0.0000,
GCN,Body mass,across,7,0.8019,0.0000,
GCN,Body mass,across,8,0.6064,0.0750,0.9512
GCN,Body mass,across,8,0.5686,0.3639,0.9300
GCN,Body mass,across,9,0.8456,0.0000,
GCN,Body mass,across,9,0.8819,0.0000,
GCN,Body mass,across,10,0.7778,0.0010,1.0000
GCN,Body mass,across,10,0.7843,0.0005,1.0000
GCN,Body mass,across,11,0.5742,0.3119,0.9348
GCN,Body mass,across,11,,0.9643,0.6919
GCN,Body mass,within,1,0.6976,0.0220,0.9724
GCN,Body mass,within,2,0.6503,0.0403,0.9576
GCN,Body mass,within,3,0.7955,0.0000,
GCN,Body mass,within,4,0.8997,0.0014,0.8571
GCN,Body mass,within,5,0.6883,0.0051,0.9231
GCN,Body mass,within,6,0.8335,0.0000,
GCN,Body mass,within,7,0.5313,0.6115,0.8997
GCN,Body mass,within,8,0.6339,0.0187,0.9694
GCN,Body mass,within,9,0.7727,0.0023,1.0000
GCN,Body mass,within,10,0.8543,0.0022,0.9375
GraphSAGE,Body mass,across,1,,0.7915,0.8241
GraphSAGE,Body mass,across,1,,0.9841,0.6781
GraphSAGE,Body mass,across,2,,0.9341,0.7881
GraphSAGE,Body mass,across,2,,0.9824,0.6919
GraphSAGE,Body mass,across,3,,0.9303,0.7882
GraphSAGE,Body mass,across,3,0.8279,0.0000,
GraphSAGE,Body mass,across,4,,0.9209,0.7802
GraphSAGE,Body mass,across,4,,0.9651,0.6781
GraphSAGE,Body mass,across,5,,0.7883,0.8166
GraphSAGE,Body mass,across,5,,0.9841,0.6781
GraphSAGE,Body mass,across,6,,0.7798,0.8182
GraphSAGE,Body mass,across,6,,0.9816,0.7016
GraphSAGE,Body mass,across,7,,0.9196,0.7893
GraphSAGE,Body mass,across,7,0.8104,0.0149,0.9310
GraphSAGE,Body mass,across,8,,0.9623,0.7616
GraphSAGE,Body mass,across,8,0.6531,0.0241,0.9667
GraphSAGE,Body mass,across,9,,0.9331,0.7851
GraphSAGE,Body mass,across,9,,0.9833,0.6849
GraphSAGE,Body mass,across,10,,0.7908,0.8114
GraphSAGE,Body mass,across,10,,0.9841,0.6781
GraphSAGE,Body mass,across,11,,0.7923,0.8241
GraphSAGE,Body mass,across,11,,0.9643,0.6919
GraphSAGE,Body mass,within,1,0.4749,0.3475,0.8901
GraphSAGE,Body mass,within,1,0.5226,0.7051,0.8962
GraphSAGE,Body mass,within,2,0.7615,0.0051,0.9744
GraphSAGE,Body mass,within,2,0.5741,0.0553,0.9402
GraphSAGE,Body mass,within,3,0.8943,0.0018,0.8750
GraphSAGE,Body mass,within,3,0.3714,2.2346,0.8899
GraphSAGE,Body mass,within,4,0.5558,0.0714,0.9270
GraphSAGE,Body mass,within,4,0.4135,0.5218,0.8919
GraphSAGE,Body mass,within,5,0.5636,0.1291,0.9249
GraphSAGE,Body mass,within,5,,0.6348,0.7723
GraphSAGE,Body mass,within,6,0.6956,0.0041,0.8824
GraphSAGE,Body mass,within,6,0.5783,0.3179,0.9375
GraphSAGE,Body mass,within,7,0.4356,0.4805,0.8872
GraphSAGE,Body mass,within,7,0.3797,0.5344,0.8919
GraphSAGE,Body mass,within,8,0.6242,0.1691,0.9578
GraphSAGE,Body mass,within,8,0.7141,0.0166,0.9815
GraphSAGE,Body mass,within,9,0.6549,0.0251,0.9636
GraphSAGE,Body mass,within,9,0.4565,0.3801,0.8917
GraphSAGE,Body mass,within,10,0.5693,0.1181,0.9276
GraphSAGE,Body mass,within,10,0.4326,0.5152,0.8914
GCN,Tarsus length,across,1,,0.7848,0.8164
GCN,Tarsus length,across,1,0.3350,0.4386,0.8824
GCN,Tarsus length,across,2,0.5007,0.2596,0.8841
GCN,Tarsus length,across,2,0.5019,0.3228,0.8900
GCN,Tarsus length,across,3,0.3370,0.5293,0.8825
GCN,Tarsus length,across,3,0.3712,0.4131,0.8896
GCN,Tarsus length,across,4,0.3875,1.6663,0.8893
GCN,Tarsus length,across,4,0.5073,0.2398,0.8920
GCN,Tarsus length,across,5,0.3332,0.4166,0.8846
GCN,Tarsus length,across,5,0.3986,0.3917,0.8867
GCN,Tarsus length,across,6,,0.9207,0.7898
GCN,Tarsus length,across,6,0.3610,0.4189,0.8883
GCN,Tarsus length,across,7,0.4281,0.3578,0.8861
GCN,Tarsus length,across,7,0.5047,0.2547,0.8897
GCN,Tarsus length,across,8,0.4996,1.0830,0.8871
GCN,Tarsus length,across,8,0.4916,0.3259,0.8882
GCN,Tarsus length,across,9,,0.9621,0.7156
GCN,Tarsus length,across,9,0.5637,0.2264,0.9390
GCN,Tarsus length,across,10,,0.9298,0.7949
GCN,Tarsus length,across,10,0.8146,0.0047,0.9286
GCN,Tarsus length,across,11,,0.9400,0.7754
GCN,Tarsus length,across,11,0.6974,0.0160,0.9724
GCN,Tarsus length,within,1,0.5602,0.0730,0.9356
GCN,Tarsus length,within,2,0.5789,0.0501,0.9408
GCN,Tarsus length,within,3,0.6714,0.0051,0.9487
GCN,Tarsus length,within,4,0.5956,0.1076,0.9481
GCN,Tarsus length,within,5,,0.9639,0.6905
GCN,Tarsus length,within,6,0.5252,0.1305,0.9046
GCN,Tarsus length,within,7,0.6350,0.1510,0.9617
GCN,Tarsus length,within,8,,0.9603,0.7308
GCN,Tarsus length,within,9,,0.9618,0.7181
GCN,Tarsus length,within,10,0.6012,0.0938,0.9480
GraphSAGE,Tarsus length,across,1,,0.7848,0.8164
GraphSAGE,Tarsus length,across,1,0.4988,0.4005,0.8866
GraphSAGE,Tarsus length,across,2,0.8657,0.0000,
GraphSAGE,Tarsus length,across,2,0.7746,0.0005,1.0000
GraphSAGE,Tarsus length,across,3,0.3115,0.4295,0.8687
GraphSAGE,Tarsus length,across,3,0.4125,0.3862,0.8868
GraphSAGE,Tarsus length,across,4,0.4292,0.4891,0.8934
GraphSAGE,Tarsus length,across,4,0.8304,0.0000,
GraphSAGE,Tarsus length,across,5,0.3860,1.8744,0.8947
GraphSAGE,Tarsus length,across,5,,0.9649,0.6766
GraphSAGE,Tarsus length,across,6,0.3765,1.7195,0.8916
GraphSAGE,Tarsus length,across,6,0.6845,0.0254,0.9647
