metric,phenotype,model,mean,std,min,q25,median,q75,max,count
threshold,Tarsus length,GCN,0.5084,0.1257,0.3332,0.3958,0.5033,0.5831,0.8146,24
threshold,Tarsus length,GraphSAGE,0.5814,0.1898,0.3115,0.4167,0.5320,0.8068,0.8999,30
threshold,Body mass,GCN,0.7477,0.1069,0.5313,0.6601,0.7765,0.8315,0.8997,30
threshold,Body mass,GraphSAGE,0.5893,0.1501,0.3714,0.4611,0.5717,0.6855,0.8943,22
threshold,Wing length,GCN,0.7241,0.1226,0.2866,0.6436,0.7313,0.8228,0.8849,31
threshold,Wing length,GraphSAGE,0.6635,0.2000,0.2523,0.6168,0.7521,0.8104,0.8884,37
mean_degree,Tarsus length,GCN,0.4812,0.4114,0.0047,0.1459,0.3747,0.9229,1.6663,32
mean_degree,Tarsus length,GraphSAGE,0.5762,0.5573,0.0000,0.0528,0.4188,0.8610,2.2452,42
mean_degree,Body mass,GCN,0.1124,0.2611,0.0000,0.0003,0.0046,0.0419,0.9816,32
mean_degree,Body mass,GraphSAGE,0.5876,0.4654,0.0000,0.1209,0.6699,0.9339,2.2346,42
mean_degree,Wing length,GCN,0.0757,0.1793,0.0000,0.0031,0.0186,0.0644,0.9338,32
mean_degree,Wing length,GraphSAGE,0.3092,0.4966,0.0000,0.0022,0.0185,0.5137,1.9113,41
intra_island_fraction,Tarsus length,GCN,0.8712,0.0767,0.6905,0.8659,0.8882,0.9303,0.9724,32
intra_island_fraction,Tarsus length,GraphSAGE,0.8379,0.1058,0.6649,0.7038,0.8894,0.8991,1.0000,36
intra_island_fraction,Body mass,GCN,0.9333,0.0805,0.6919,0.9283,0.9529,0.9782,1.0000,24
intra_island_fraction,Body mass,GraphSAGE,0.8381,0.0971,0.6781,0.7802,0.8750,0.9249,0.9815,41
intra_island_fraction,Wing length,GCN,0.9413,0.0436,0.7956,0.9286,0.9487,0.9619,1.0000,29
intra_island_fraction,Wing length,GraphSAGE,0.9023,0.0859,0.6711,0.8613,0.9444,0.9607,1.0000,36
