island,GBLUP,GCN,GraphSAGE,MLP,overall_mean
Myken,0.3542,0.3349,0.3913,0.3146,0.3488
Indre Kvarøy,0.2850,0.3330,0.3374,0.3438,0.3248
Lovund,0.2930,0.2911,0.3028,0.3134,0.3001
Selvær,0.2286,0.2905,0.3069,0.2854,0.2778
Nesøy,0.1357,0.2484,0.2595,0.2595,0.2258
Sleneset,0.2496,0.2353,0.1949,0.2008,0.2202
Aldra,0.1808,0.1682,0.2391,0.2428,0.2078
Træna,0.1720,0.2144,0.2183,0.2236,0.2071
Hestmannøy,0.1819,0.1818,0.1820,0.1990,0.1862
Onøy/Lurøy,0.1787,0.1683,0.1976,0.1820,0.1817
Gjerøy,0.1485,0.1469,0.1796,0.1608,0.1590
