phenotype,model,mean,std,min,q25,median,q75,max,count
Body Mass,GBLUP,0.2880,0.0477,0.2090,0.2539,0.2912,0.3322,0.3468,10
Body Mass,GCN,0.2666,0.0727,0.1527,0.2210,0.2382,0.3320,0.3840,10
Body Mass,GraphSAGE,0.2607,0.0730,0.1393,0.2150,0.2647,0.3101,0.3839,10
Body Mass,GraphSAGE Inductive,0.2703,0.0596,0.1719,0.2271,0.2637,0.3155,0.3522,10
Body Mass,MLP,0.2779,0.0645,0.1911,0.2374,0.2680,0.3313,0.3771,10
Tarsus Length,GBLUP,0.4008,0.0398,0.3249,0.3844,0.4036,0.4157,0.4615,10
Tarsus Length,GCN,0.3674,0.0409,0.3329,0.3401,0.3541,0.3824,0.4593,10
Tarsus Length,GraphSAGE,0.3856,0.0348,0.3375,0.3548,0.3911,0.4075,0.4396,10
Tarsus Length,GraphSAGE Inductive,0.3827,0.0382,0.3394,0.3531,0.3702,0.4062,0.4462,10
Tarsus Length,MLP,0.3933,0.0328,0.3398,0.3753,0.3903,0.4192,0.4395,10
Wing Length,GBLUP,0.3643,0.0882,0.2430,0.2976,0.3492,0.4527,0.4743,10
Wing Length,GCN,0.3312,0.0597,0.2205,0.3104,0.3276,0.3714,0.4170,10
Wing Length,GraphSAGE,0.3256,0.0526,0.2465,0.2978,0.3071,0.3520,0.4103,10
Wing Length,GraphSAGE Inductive,0.3374,0.0547,0.2528,0.3017,0.3342,0.3757,0.4156,10
Wing Length,MLP,0.3406,0.0561,0.2392,0.3113,0.3397,0.3838,0.4244,10
